Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:54:58,2023-09-18 14:54:59,0.670s,PASSED
,,,,,,,
Test Cases/TC_007,Chrome 116.0.0.0,,,2023-09-18 14:54:59,2023-09-18 14:55:10,10.944s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:54:59,2023-09-18 14:55:00,1.292s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:55:00,2023-09-18 14:55:07,6.142s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:55:07,2023-09-18 14:55:09,2.488s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:55:09,2023-09-18 14:55:10,0.686s,PASSED
,,,,,,,
Test Cases/TC_008,Chrome 116.0.0.0,,,2023-09-18 14:55:10,2023-09-18 14:55:21,11.171s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:55:10,2023-09-18 14:55:11,1.324s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:55:11,2023-09-18 14:55:17,5.788s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:55:17,2023-09-18 14:55:20,3.058s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:55:20,2023-09-18 14:55:21,0.672s,PASSED
,,,,,,,
Test Cases/TC_009,Chrome 116.0.0.0,,,2023-09-18 14:55:21,2023-09-18 14:55:32,11.034s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-18 14:55:21,2023-09-18 14:55:23,1.319s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 116.0.0.0,,,2023-09-18 14:55:23,2023-09-18 14:55:28,5.615s,PASSED
"click(findTestObject(""Object Repository/Page_Google/a_""))",Chrome 116.0.0.0,,,2023-09-18 14:55:28,2023-09-18 14:55:31,3.080s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-18 14:55:31,2023-09-18 14:55:32,0.681s,PASSED
